log_ret_y,count,Close Price_y,edge_count,node_count,degree
-0.001130742,2908,11.785,2783,5181,1.074309979
0.000353494,1474,11.78916667,1372,2431,1.128753599
-0.002831459,1925,11.75583333,1817,3225,1.126821705
-0.00504567,1864,11.69666667,1167,2098,1.112488084
0.002206171,3602,11.7225,2811,4992,1.126201923
-0.000995733,1800,11.71083333,1112,2016,1.103174603
0.001280046,1810,11.72583333,1223,2143,1.141390574
-0.006345154,7846,11.65166667,7196,13122,1.096784027
-0.003151865,1645,11.615,1027,1917,1.071465832
-0.002226613,2271,11.58916667,1242,2201,1.128577919
-0.001367153,3345,11.57333333,2340,4159,1.125270498
-0.000576203,1480,11.56666667,1147,2048,1.120117188
0.00251844,1103,11.59583333,1036,1871,1.107429182
0.003228702,1495,11.63333333,1423,2508,1.13476874
0.002789801,953,11.66583333,867,1586,1.09331652
-0.000142878,1393,11.66416667,1324,2360,1.122033898
0.000785574,2690,11.67333333,2467,4358,1.132170721
0.002566663,1457,11.70333333,1312,2314,1.133967156
-0.004495993,839,11.65083333,777,1434,1.083682008
0.00192933,942,11.67333333,877,1609,1.090118086
0.000428235,1423,11.67833333,1320,2333,1.131590227
-0.001571092,2252,11.66,2129,4044,1.052917903
0.00491927,2714,11.7175,2600,4582,1.1348756
0.004045571,1098,11.765,971,1746,1.112256586
0.000141653,1343,11.76666667,1256,2311,1.086975335
-0.005468181,2395,11.7025,2266,4275,1.060116959
0.00744922,2148,11.79,1328,2380,1.115966387
-0.006452779,1653,11.71416667,898,1619,1.109326745
-0.001067654,4174,11.70166667,3064,5379,1.139245213
-0.002138733,2309,11.67666667,1211,2235,1.083668904
0.004201836,2098,11.72583333,1071,1940,1.104123711
-0.004344581,1887,11.675,762,1393,1.094041637
0.001640338,7906,11.69416667,6613,11920,1.109563758
0.005542936,2106,11.75916667,867,1646,1.05346294
-0.001915234,3452,11.73666667,2260,4091,1.104864336
-0.00305778,906,11.70083333,692,1306,1.059724349
0.002205386,1011,11.72666667,870,1605,1.08411215
0.001491213,999,11.74416667,834,1584,1.053030303
-0.001562278,1268,11.72583333,958,1828,1.048140044
-0.000284313,1130,11.7225,891,1664,1.070913462
0.000710631,2470,11.73083333,2326,4137,1.124486343
-0.000355252,795,11.72666667,659,1246,1.057784912
-0.006988547,676,11.645,619,1162,1.065404475
-0.001073999,488,11.6325,432,825,1.047272727
-0.002654139,869,11.60166667,817,1505,1.085714286
0.003799696,565,11.64583333,502,948,1.05907173
-0.00042943,3232,11.64083333,3107,5794,1.072488781
-0.000501235,2189,11.635,2067,4032,1.025297619
0.000930665,1006,11.64583333,716,1327,1.079125848
0.001430104,1554,11.6625,616,1172,1.051194539
-0.00171637,2697,11.6425,1616,2901,1.114098587
-0.000859291,3021,11.6325,1783,3159,1.12883824
0.005429748,4873,11.69583333,3585,6297,1.138637446
0.002206328,3159,11.72166667,1875,3322,1.128838049
0,9476,11.72166667,8195,14918,1.098672744
-0.001351688,2004,11.70583333,728,1375,1.058909091
0.003127446,2543,11.7425,1209,2194,1.102096627
-0.013431652,2656,11.58583333,1542,2907,1.060887513
-0.000647552,2929,11.57833333,2732,4934,1.107417916
-0.005340274,1393,11.51666667,1169,2224,1.051258993
-0.009086016,1183,11.4125,1105,2049,1.078574915
